r/a,ne,nD,nT,nHe
0.32795520901639347,1.6363055926631882,0.7142443454024846,0.7142443454024846,0.04908916777989564
0.333901618852459,1.628381405091771,0.7109998402755985,0.7109998402755985,0.04885144215275313
0.3398374836065574,1.6203441056558519,0.7076983245932565,0.7076983245932565,0.04861032316967555
0.3457623565573771,1.6121788780903854,0.7043340301848622,0.7043340301848622,0.04836536634271156
0.35167582377049184,1.6038223004096837,0.7008811104690525,0.7008811104690525,0.04811466901229051
0.35757776639344263,1.5952245618972871,0.6973191977928623,0.6973191977928623,0.04785673685691861
0.36346845901639346,1.5863854323575106,0.6936523823445568,0.6936523823445568,0.04759156297072532
0.3693483401639345,1.5773076494009772,0.6898778936551816,0.6898778936551816,0.04731922948202931
0.3752170942622951,1.5679946212139106,0.6859971559156519,0.6859971559156519,0.04703983863641732
0.38107453278688525,1.5584498295610487,0.6820115563118299,0.6820115563118299,0.04675349488683146
0.38692120901639343,1.5486765830107976,0.6779224088710678,0.6779224088710678,0.04646029749032392
0.39275775,1.5386780203718626,0.6737309579162772,0.6737309579162772,0.046160340611155884
0.39858583196721314,1.5284572143311912,0.6694384232541571,0.6694384232541571,0.04585371642993574
0.40440737704918034,1.5180171252835593,0.6650459804711588,0.6650459804711588,0.045540513758506776
0.41022422131147546,1.5073605053436678,0.6605547179261609,0.6605547179261609,0.045220815160310034
0.4160397950819672,1.4964900525320106,0.6559657042880821,0.6559657042880821,0.04489470157596032
0.4218570901639344,1.4854084651261905,0.6512800126781415,0.6512800126781415,0.04456225395378571
0.4276770901639344,1.4741183461696632,0.6464986759116031,0.6464986759116031,0.0442235503850899
0.43349983606557374,1.4626236081301962,0.6416232923970117,0.6416232923970117,0.04387870824390588
0.4393275,1.4509345277005123,0.636658183531265,0.636658183531265,0.043528035831015374
0.4451613524590164,1.4391024248955901,0.6316252794757226,0.6316252794757226,0.0431730727468677
0.4510001229508197,1.4272904968757272,0.6265946544106955,0.6265946544106955,0.04281871490627181
0.4568454508196721,1.4156376943956845,0.6216261652443317,0.6216261652443317,0.042469130831870525
0.4626970081967213,1.4041672037201205,0.6167300379282588,0.6167300379282588,0.042125016111603616
0.46855241803278685,1.3928845280527213,0.61190893855986,0.61190893855986,0.04178653584158164
0.47440963114754103,1.3817917433437938,0.6071640626454549,0.6071640626454549,0.041453752300313826
0.48026573770491804,1.3708903040079825,0.6024963356957719,0.6024963356957719,0.041126709120239476
0.48611606557377046,1.360181348543228,0.597906543679313,0.597906543679313,0.04080544045629684
0.4919553278688525,1.3496656550432482,0.5933953092536504,0.5933953092536504,0.040489969651297454
0.4977795901639344,1.3393439465968893,0.58896322606931,0.58896322606931,0.04018031839790668
0.5035855737704918,1.329216546568755,0.5846107068292823,0.5846107068292823,0.03987649639706266
0.5093719262295082,1.3192837837564833,0.5803381605175036,0.5803381605175036,0.0395785135126945
0.5151379098360656,1.3095456474209655,0.5761458397604394,0.5761458397604394,0.03928636942262897
0.5208820901639345,1.3000021421866743,0.5720339983007241,0.5720339983007241,0.03900006426560024
0.5266037704918033,1.2906527928100773,0.5680026706595783,0.5680026706595783,0.03871958378430231
0.5323026229508196,1.281496948814867,0.564051810091436,0.564051810091436,0.038444908464446016
0.5379782786885247,1.2725322389934652,0.5601806194678117,0.5601806194678117,0.03817596716980397
0.5436306967213115,1.2637474512119045,0.5563844874124639,0.5563844874124639,0.03791242353635713
0.5492597950819672,1.2551051028554274,0.5526474772716892,0.5526474772716892,0.037653153085662826
0.5548656147540983,1.2465716051454994,0.5489552777358087,0.5489552777358087,0.03739714815436498
0.5604481557377049,1.2381398454418342,0.54530494055434,0.54530494055434,0.03714419536325502
0.5660072540983606,1.2298072267631048,0.5416954545182416,0.5416954545182416,0.03689421680289315
0.5715427868852458,1.2215720174546407,0.5381261766710397,0.5381261766710397,0.03664716052363921
0.5770546721311476,1.213432500864066,0.5345964632909297,0.5345964632909297,0.03640297502592198
0.5825428278688525,1.2053871750246707,0.5311057606822754,0.5311057606822754,0.036161615250740124
0.5880072950819673,1.1974345023463098,0.5276534945620474,0.5276534945620474,0.0359230350703893
0.5934481147540984,1.1895728593136528,0.524239048791186,0.524239048791186,0.03568718577940958
0.5988652049180329,1.181800786191575,0.52086187475312,0.52086187475312,0.035454023585747244
0.6042586065573771,1.1741168867375325,0.5175214481623748,0.5175214481623748,0.03522350660212596
0.6096282786885245,1.16651967792072,0.5142172024012467,0.5142172024012467,0.0349955903376216
0.6149742622950819,1.1590076896478598,0.5109485730923488,0.5109485730923488,0.0347702306894358
0.6202965163934426,1.1515796144954387,0.507715063926978,0.507715063926978,0.03454738843486316
0.6255950819672131,1.1442339074482364,0.5045160709195015,0.5045160709195015,0.03432701722344709
0.6308699180327869,1.1369686356439923,0.5013508164018573,0.5013508164018573,0.03410905906931976
0.6361209426229508,1.1297789882150449,0.49821725786294585,0.49821725786294585,0.03389336964645135
