rho,ne,nD,nT,nHe
0.85,0.8548015973747132,0.3614406775690386,0.3614406775690386,0.0432181566901809
0.855,0.8518078499999999,0.36018837525714065,0.36018837525714065,0.043050096126016665
0.86,0.8488711100000002,0.358960092486415,0.358960092486415,0.04288492733100961
0.865,0.8459557900000001,0.35774049422693427,0.35774049422693427,0.0427211742255526
0.87,0.84306172,0.35652949327672623,0.35652949327672623,0.04255884206124567
0.875,0.8401887800000001,0.3553270244605764,0.3553270244605764,0.042397937553736526
0.88,0.83733679,0.3541329980737562,0.3541329980737562,0.042238463347485794
0.885,0.8345056200000001,0.35294734644774517,0.35294734644774517,0.04208042353264429
0.89,0.8316951200000001,0.3517699942928793,0.3517699942928793,0.041923820137518025
0.895,0.8289051499999999,0.35060087144045726,0.35060087144045726,0.041768654601145226
0.9,0.82613556,0.34943990430473976,0.34943990430473976,0.041614926815228936
0.905,0.82296202,0.3481080914141886,0.3481080914141886,0.0414405792365712
0.91,0.81884099,0.3463760547078424,0.3463760547078424,0.04121741941559188
0.915,0.8135022500000001,0.34412962749621895,0.34412962749621895,0.040931498668121125
0.92,0.80654604,0.3411998248275851,0.3411998248275851,0.04056226072168651
0.925,0.7973282900000005,0.3373141827632937,0.3373141827632937,0.040076817903803144
0.93,0.7852189900000001,0.33220551879911964,0.33220551879911964,0.0394436287181913
0.935,0.76987869,0.32572873199291413,0.32572873199291413,0.03864661879061879
0.94,0.7510299200000007,0.31776438256813205,0.31776438256813205,0.03767301280885651
0.945,0.7277363100000006,0.3079132713592405,0.3079132713592405,0.03647686015002414
0.95,0.6991039699999999,0.2957918698298599,0.2957918698298599,0.03501556011420002
0.955,0.6657449899999983,0.2816518136443423,0.2816518136443423,0.033323031698046936
0.96,0.6287588800000008,0.26594845801146755,0.26594845801146755,0.03145612445092361
0.965,0.5891736499999992,0.24910093298238484,0.24910093298238484,0.029466281419803987
0.97,0.54887013,0.23187862500077364,0.23187862500077364,0.027446040983402354
0.975,0.5101641100000001,0.21520484388893077,0.21520484388893077,0.025508849545722398
0.98,0.4747383699999994,0.1996729628703768,0.1996729628703768,0.02373703083877446
0.985,0.4443464400000011,0.18655152186828336,0.18655152186828336,0.02221733435152857
0.99,0.42015858,0.17641452877793506,0.17641452877793506,0.021007929833147886
0.995,0.40083660999999954,0.16818916899829248,0.16818916899829248,0.020041830522005845
1.0,0.3845744,0.15830413261238302,0.15830413261238302,0.019228720000035632
