@TEAV,TDAV,TTAV,TAAV [keV]  vs t@
X,TEAV,TDAV,TTAV,TAAV
 0.2420000E+00, 0.3097848E+01, 0.2836134E+01, 0.2833794E+01, 0.2848135E+01,
 0.2440000E+00, 0.3098416E+01, 0.2835714E+01, 0.2833365E+01, 0.2847734E+01,
 0.2460000E+00, 0.3098994E+01, 0.2835315E+01, 0.2832956E+01, 0.2847354E+01,
 0.2480000E+00, 0.3099582E+01, 0.2834935E+01, 0.2832567E+01, 0.2846994E+01,
 0.2500000E+00, 0.3100182E+01, 0.2834576E+01, 0.2832199E+01, 0.2846653E+01,
 0.2520000E+00, 0.3100791E+01, 0.2834236E+01, 0.2831850E+01, 0.2846332E+01,
 0.2540000E+00, 0.3101411E+01, 0.2833916E+01, 0.2831520E+01, 0.2846030E+01,
 0.2560000E+00, 0.3102041E+01, 0.2833614E+01, 0.2831209E+01, 0.2845747E+01,
 0.2580000E+00, 0.3102680E+01, 0.2833331E+01, 0.2830917E+01, 0.2845482E+01,
 0.2600000E+00, 0.3103329E+01, 0.2833067E+01, 0.2830644E+01, 0.2845235E+01,
 0.2620000E+00, 0.3103987E+01, 0.2832820E+01, 0.2830388E+01, 0.2845007E+01,
 0.2640000E+00, 0.3104654E+01, 0.2832591E+01, 0.2830151E+01, 0.2844796E+01,
 0.2660000E+00, 0.3105331E+01, 0.2832380E+01, 0.2829931E+01, 0.2844602E+01,
 0.2680000E+00, 0.3106016E+01, 0.2832186E+01, 0.2829728E+01, 0.2844425E+01,
 0.2700000E+00, 0.3106710E+01, 0.2832008E+01, 0.2829542E+01, 0.2844266E+01,
 0.2720000E+00, 0.3107413E+01, 0.2831848E+01, 0.2829373E+01, 0.2844122E+01,
 0.2740000E+00, 0.3108124E+01, 0.2831704E+01, 0.2829221E+01, 0.2843996E+01,
 0.2760000E+00, 0.3108844E+01, 0.2831576E+01, 0.2829084E+01, 0.2843885E+01,
 0.2780000E+00, 0.3109572E+01, 0.2831464E+01, 0.2828964E+01, 0.2843790E+01,
 0.2800000E+00, 0.3110307E+01, 0.2831368E+01, 0.2828860E+01, 0.2843711E+01,
 0.2820000E+00, 0.3111051E+01, 0.2831287E+01, 0.2828771E+01, 0.2843647E+01,
 0.2840000E+00, 0.3111803E+01, 0.2831222E+01, 0.2828698E+01, 0.2843598E+01,
 0.2860000E+00, 0.3112562E+01, 0.2831172E+01, 0.2828639E+01, 0.2843564E+01,
 0.2880000E+00, 0.3113328E+01, 0.2831136E+01, 0.2828596E+01, 0.2843545E+01,
 0.2900000E+00, 0.3114102E+01, 0.2831115E+01, 0.2828567E+01, 0.2843540E+01,
 0.2920000E+00, 0.3114884E+01, 0.2831109E+01, 0.2828553E+01, 0.2843550E+01,
 0.2940000E+00, 0.3115672E+01, 0.2831116E+01, 0.2828553E+01, 0.2843574E+01,
 0.2960000E+00, 0.3116468E+01, 0.2831138E+01, 0.2828567E+01, 0.2843611E+01,
 0.2980000E+00, 0.3117270E+01, 0.2831173E+01, 0.2828595E+01, 0.2843663E+01,
 0.3000000E+00, 0.3118079E+01, 0.2831223E+01, 0.2828637E+01, 0.2843728E+01,
 0.3020000E+00, 0.3118896E+01, 0.2831285E+01, 0.2828692E+01, 0.2843806E+01,
 0.3040000E+00, 0.3119718E+01, 0.2831361E+01, 0.2828760E+01, 0.2843898E+01,
 0.3060000E+00, 0.3120548E+01, 0.2831450E+01, 0.2828842E+01, 0.2844002E+01,
 0.3080000E+00, 0.3121383E+01, 0.2831552E+01, 0.2828937E+01, 0.2844119E+01,
 0.3100000E+00, 0.3122225E+01, 0.2831666E+01, 0.2829044E+01, 0.2844249E+01,
 0.3120000E+00, 0.3123073E+01, 0.2831794E+01, 0.2829164E+01, 0.2844392E+01,
 0.3140000E+00, 0.3123927E+01, 0.2831933E+01, 0.2829297E+01, 0.2844547E+01,
 0.3160000E+00, 0.3124788E+01, 0.2832085E+01, 0.2829442E+01, 0.2844714E+01,
 0.3180000E+00, 0.3125654E+01, 0.2832249E+01, 0.2829599E+01, 0.2844893E+01,
 0.3200000E+00, 0.3126525E+01, 0.2832425E+01, 0.2829768E+01, 0.2845084E+01,
 0.3220000E+00, 0.3127403E+01, 0.2832613E+01, 0.2829948E+01, 0.2845287E+01,
 0.3240000E+00, 0.3128286E+01, 0.2832812E+01, 0.2830141E+01, 0.2845501E+01,
 0.3260000E+00, 0.3129175E+01, 0.2833023E+01, 0.2830345E+01, 0.2845726E+01,
 0.3280000E+00, 0.3130069E+01, 0.2833246E+01, 0.2830561E+01, 0.2845964E+01,
 0.3300000E+00, 0.3130969E+01, 0.2833479E+01, 0.2830788E+01, 0.2846212E+01,
 0.3320000E+00, 0.3131874E+01, 0.2833724E+01, 0.2831026E+01, 0.2846471E+01,
 0.3340000E+00, 0.3132784E+01, 0.2833979E+01, 0.2831275E+01, 0.2846741E+01,
 0.3360000E+00, 0.3133699E+01, 0.2834246E+01, 0.2831534E+01, 0.2847022E+01,
 0.3380000E+00, 0.3134619E+01, 0.2834523E+01, 0.2831805E+01, 0.2847313E+01,
 0.3400000E+00, 0.3135544E+01, 0.2834810E+01, 0.2832086E+01, 0.2847615E+01,
 0.3420000E+00, 0.3136474E+01, 0.2835109E+01, 0.2832377E+01, 0.2847928E+01,
 0.3440000E+00, 0.3137409E+01, 0.2835417E+01, 0.2832679E+01, 0.2848250E+01,
 0.3460000E+00, 0.3138348E+01, 0.2835735E+01, 0.2832991E+01, 0.2848583E+01,
 0.3480000E+00, 0.3139293E+01, 0.2836064E+01, 0.2833313E+01, 0.2848925E+01,
 0.3500000E+00, 0.3140241E+01, 0.2836402E+01, 0.2833645E+01, 0.2849277E+01,
 0.3520000E+00, 0.3141195E+01, 0.2836750E+01, 0.2833987E+01, 0.2849639E+01,
 0.3540000E+00, 0.3142153E+01, 0.2837108E+01, 0.2834338E+01, 0.2850011E+01,
 0.3560000E+00, 0.3143115E+01, 0.2837475E+01, 0.2834699E+01, 0.2850392E+01,
 0.3580000E+00, 0.3144082E+01, 0.2837852E+01, 0.2835069E+01, 0.2850782E+01,
 0.3600000E+00, 0.3145053E+01, 0.2838238E+01, 0.2835449E+01, 0.2851182E+01,
 0.3620000E+00, 0.3146028E+01, 0.2838633E+01, 0.2835838E+01, 0.2851590E+01,
 0.3640000E+00, 0.3147007E+01, 0.2839037E+01, 0.2836236E+01, 0.2852008E+01,
 0.3660000E+00, 0.3147991E+01, 0.2839450E+01, 0.2836643E+01, 0.2852434E+01,
 0.3680000E+00, 0.3148979E+01, 0.2839872E+01, 0.2837058E+01, 0.2852870E+01,
 0.3700000E+00, 0.3149971E+01, 0.2840302E+01, 0.2837482E+01, 0.2853313E+01,
 0.3720000E+00, 0.3150966E+01, 0.2840741E+01, 0.2837915E+01, 0.2853765E+01,
 0.3740000E+00, 0.3151966E+01, 0.2841188E+01, 0.2838357E+01, 0.2854226E+01,
 0.3760000E+00, 0.3152970E+01, 0.2841644E+01, 0.2838806E+01, 0.2854695E+01,
 0.3780000E+00, 0.3153977E+01, 0.2842108E+01, 0.2839264E+01, 0.2855172E+01,
 0.3800000E+00, 0.3154988E+01, 0.2842580E+01, 0.2839731E+01, 0.2855657E+01,
 0.3820000E+00, 0.3156003E+01, 0.2843060E+01, 0.2840204E+01, 0.2856151E+01,
 0.3840000E+00, 0.3157022E+01, 0.2843548E+01, 0.2840687E+01, 0.2856652E+01,
 0.3860000E+00, 0.3158044E+01, 0.2844044E+01, 0.2841177E+01, 0.2857160E+01,
 0.3880000E+00, 0.3159070E+01, 0.2844548E+01, 0.2841674E+01, 0.2857677E+01,
 0.3900000E+00, 0.3160100E+01, 0.2845059E+01, 0.2842179E+01, 0.2858200E+01,
 0.3920000E+00, 0.3161133E+01, 0.2845577E+01, 0.2842692E+01, 0.2858732E+01,
 0.3940000E+00, 0.3162169E+01, 0.2846103E+01, 0.2843212E+01, 0.2859270E+01,
 0.3960000E+00, 0.3163210E+01, 0.2846636E+01, 0.2843740E+01, 0.2859816E+01,
 0.3980000E+00, 0.3164253E+01, 0.2847177E+01, 0.2844274E+01, 0.2860369E+01,
