@IP,IOH,INB,IRF,IBS,IPARA [MA]  vs t@
X,IP,IOH,INB,IRF,IBS,IPARA
 0.2800000E+01, 0.1399702E+02, 0.1348204E+02, 0.0000000E+00, 0.0000000E+00, 0.2105609E+00, 0.1369260E+02,
 0.2820000E+01, 0.1399702E+02, 0.1348154E+02, 0.0000000E+00, 0.0000000E+00, 0.2110576E+00, 0.1369260E+02,
 0.2840000E+01, 0.1399702E+02, 0.1348105E+02, 0.0000000E+00, 0.0000000E+00, 0.2115516E+00, 0.1369260E+02,
 0.2860000E+01, 0.1399702E+02, 0.1348056E+02, 0.0000000E+00, 0.0000000E+00, 0.2120429E+00, 0.1369260E+02,
 0.2880000E+01, 0.1399702E+02, 0.1348007E+02, 0.0000000E+00, 0.0000000E+00, 0.2125315E+00, 0.1369260E+02,
 0.2900000E+01, 0.1399702E+02, 0.1347958E+02, 0.0000000E+00, 0.0000000E+00, 0.2130173E+00, 0.1369260E+02,
 0.2920000E+01, 0.1399702E+02, 0.1347910E+02, 0.0000000E+00, 0.0000000E+00, 0.2135005E+00, 0.1369260E+02,
 0.2940000E+01, 0.1399702E+02, 0.1347862E+02, 0.0000000E+00, 0.0000000E+00, 0.2139810E+00, 0.1369260E+02,
 0.2960000E+01, 0.1399702E+02, 0.1347814E+02, 0.0000000E+00, 0.0000000E+00, 0.2144589E+00, 0.1369260E+02,
 0.2980000E+01, 0.1399702E+02, 0.1347766E+02, 0.0000000E+00, 0.0000000E+00, 0.2149342E+00, 0.1369260E+02,
 0.3000000E+01, 0.1399702E+02, 0.1347719E+02, 0.0000000E+00, 0.0000000E+00, 0.2154068E+00, 0.1369260E+02,
 0.3020000E+01, 0.1399702E+02, 0.1347672E+02, 0.0000000E+00, 0.0000000E+00, 0.2158768E+00, 0.1369260E+02,
 0.3040000E+01, 0.1399702E+02, 0.1347625E+02, 0.0000000E+00, 0.0000000E+00, 0.2163442E+00, 0.1369260E+02,
 0.3060000E+01, 0.1399702E+02, 0.1347579E+02, 0.0000000E+00, 0.0000000E+00, 0.2168091E+00, 0.1369260E+02,
 0.3080000E+01, 0.1399702E+02, 0.1347533E+02, 0.0000000E+00, 0.0000000E+00, 0.2172714E+00, 0.1369260E+02,
 0.3100000E+01, 0.1399702E+02, 0.1347487E+02, 0.0000000E+00, 0.0000000E+00, 0.2177312E+00, 0.1369260E+02,
 0.3120000E+01, 0.1399702E+02, 0.1347441E+02, 0.0000000E+00, 0.0000000E+00, 0.2181884E+00, 0.1369260E+02,
 0.3140000E+01, 0.1399702E+02, 0.1347396E+02, 0.0000000E+00, 0.0000000E+00, 0.2186432E+00, 0.1369260E+02,
 0.3160000E+01, 0.1399702E+02, 0.1347350E+02, 0.0000000E+00, 0.0000000E+00, 0.2190954E+00, 0.1369260E+02,
 0.3180000E+01, 0.1399702E+02, 0.1347305E+02, 0.0000000E+00, 0.0000000E+00, 0.2195452E+00, 0.1369260E+02,
 0.3200000E+01, 0.1399702E+02, 0.1347261E+02, 0.0000000E+00, 0.0000000E+00, 0.2199925E+00, 0.1369260E+02,
 0.3220000E+01, 0.1399702E+02, 0.1347216E+02, 0.0000000E+00, 0.0000000E+00, 0.2204374E+00, 0.1369260E+02,
 0.3240000E+01, 0.1399702E+02, 0.1347172E+02, 0.0000000E+00, 0.0000000E+00, 0.2208798E+00, 0.1369260E+02,
 0.3260000E+01, 0.1399702E+02, 0.1347128E+02, 0.0000000E+00, 0.0000000E+00, 0.2213199E+00, 0.1369260E+02,
 0.3280000E+01, 0.1399702E+02, 0.1347084E+02, 0.0000000E+00, 0.0000000E+00, 0.2217575E+00, 0.1369260E+02,
 0.3300000E+01, 0.1399702E+02, 0.1347041E+02, 0.0000000E+00, 0.0000000E+00, 0.2221928E+00, 0.1369260E+02,
 0.3320000E+01, 0.1399702E+02, 0.1346997E+02, 0.0000000E+00, 0.0000000E+00, 0.2226257E+00, 0.1369260E+02,
 0.3340000E+01, 0.1399702E+02, 0.1346954E+02, 0.0000000E+00, 0.0000000E+00, 0.2230562E+00, 0.1369260E+02,
 0.3360000E+01, 0.1399702E+02, 0.1346911E+02, 0.0000000E+00, 0.0000000E+00, 0.2234845E+00, 0.1369260E+02,
 0.3380000E+01, 0.1399702E+02, 0.1346869E+02, 0.0000000E+00, 0.0000000E+00, 0.2239104E+00, 0.1369260E+02,
 0.3400000E+01, 0.1399702E+02, 0.1346826E+02, 0.0000000E+00, 0.0000000E+00, 0.2243340E+00, 0.1369260E+02,
 0.3420000E+01, 0.1399702E+02, 0.1346784E+02, 0.0000000E+00, 0.0000000E+00, 0.2247553E+00, 0.1369260E+02,
 0.3440000E+01, 0.1399702E+02, 0.1346742E+02, 0.0000000E+00, 0.0000000E+00, 0.2251744E+00, 0.1369260E+02,
 0.3460000E+01, 0.1399702E+02, 0.1346701E+02, 0.0000000E+00, 0.0000000E+00, 0.2255912E+00, 0.1369260E+02,
 0.3480000E+01, 0.1399702E+02, 0.1346659E+02, 0.0000000E+00, 0.0000000E+00, 0.2260057E+00, 0.1369260E+02,
 0.3500000E+01, 0.1399702E+02, 0.1346618E+02, 0.0000000E+00, 0.0000000E+00, 0.2264181E+00, 0.1369260E+02,
 0.3520000E+01, 0.1399702E+02, 0.1346577E+02, 0.0000000E+00, 0.0000000E+00, 0.2268282E+00, 0.1369260E+02,
 0.3540000E+01, 0.1399702E+02, 0.1346536E+02, 0.0000000E+00, 0.0000000E+00, 0.2272361E+00, 0.1369260E+02,
 0.3560000E+01, 0.1399702E+02, 0.1346496E+02, 0.0000000E+00, 0.0000000E+00, 0.2276419E+00, 0.1369260E+02,
 0.3580000E+01, 0.1399702E+02, 0.1346455E+02, 0.0000000E+00, 0.0000000E+00, 0.2280455E+00, 0.1369260E+02,
 0.3600000E+01, 0.1399702E+02, 0.1346415E+02, 0.0000000E+00, 0.0000000E+00, 0.2284470E+00, 0.1369260E+02,
 0.3620000E+01, 0.1399702E+02, 0.1346375E+02, 0.0000000E+00, 0.0000000E+00, 0.2288463E+00, 0.1369260E+02,
 0.3640000E+01, 0.1399702E+02, 0.1346336E+02, 0.0000000E+00, 0.0000000E+00, 0.2292436E+00, 0.1369260E+02,
 0.3660000E+01, 0.1399702E+02, 0.1346296E+02, 0.0000000E+00, 0.0000000E+00, 0.2296387E+00, 0.1369260E+02,
 0.3680000E+01, 0.1399702E+02, 0.1346257E+02, 0.0000000E+00, 0.0000000E+00, 0.2300317E+00, 0.1369260E+02,
 0.3700000E+01, 0.1399702E+02, 0.1346218E+02, 0.0000000E+00, 0.0000000E+00, 0.2304227E+00, 0.1369260E+02,
 0.3720000E+01, 0.1399702E+02, 0.1346179E+02, 0.0000000E+00, 0.0000000E+00, 0.2308116E+00, 0.1369260E+02,
 0.3740000E+01, 0.1399702E+02, 0.1346140E+02, 0.0000000E+00, 0.0000000E+00, 0.2311985E+00, 0.1369260E+02,
 0.3760000E+01, 0.1399702E+02, 0.1346101E+02, 0.0000000E+00, 0.0000000E+00, 0.2315834E+00, 0.1369260E+02,
 0.3780000E+01, 0.1399702E+02, 0.1346063E+02, 0.0000000E+00, 0.0000000E+00, 0.2319662E+00, 0.1369260E+02,
 0.3800000E+01, 0.1399702E+02, 0.1346025E+02, 0.0000000E+00, 0.0000000E+00, 0.2323471E+00, 0.1369260E+02,
 0.3820000E+01, 0.1399702E+02, 0.1345987E+02, 0.0000000E+00, 0.0000000E+00, 0.2327259E+00, 0.1369260E+02,
 0.3840000E+01, 0.1399702E+02, 0.1345950E+02, 0.0000000E+00, 0.0000000E+00, 0.2331029E+00, 0.1369260E+02,
