@NE0,ND0,NT0,NA0,<> [10$+20$=/m$+3$=]  vs t@
X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8
 0.3000000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.3200000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.3400000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.3600000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.3800000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.4000000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.4200000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.4400000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.4600000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.4800000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.5000000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.5200000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.5400000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.5600000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.5800000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.6000000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.6200000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.6400000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.6600000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.6800000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.7000000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.7200000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
