@QF  vs t@
X,QF
 0.5420000E+00, 0.7451161E+00
 0.5440000E+00, 0.7464972E+00
 0.5460000E+00, 0.7478789E+00
 0.5480000E+00, 0.7492613E+00
 0.5500000E+00, 0.7506443E+00
 0.5520000E+00, 0.7520279E+00
 0.5540000E+00, 0.7534121E+00
 0.5560000E+00, 0.7547969E+00
 0.5580000E+00, 0.7561824E+00
 0.5600000E+00, 0.7575684E+00
 0.5620000E+00, 0.7589550E+00
 0.5640000E+00, 0.7603422E+00
 0.5660000E+00, 0.7617300E+00
 0.5680000E+00, 0.7631183E+00
 0.5700000E+00, 0.7645072E+00
 0.5720000E+00, 0.7658967E+00
 0.5740000E+00, 0.7672868E+00
 0.5760000E+00, 0.7686774E+00
 0.5780000E+00, 0.7700686E+00
 0.5800000E+00, 0.7714603E+00
 0.5820000E+00, 0.7728525E+00
 0.5840000E+00, 0.7742454E+00
 0.5860000E+00, 0.7756387E+00
 0.5880000E+00, 0.7770326E+00
 0.5900000E+00, 0.7784271E+00
 0.5920000E+00, 0.7798220E+00
 0.5940000E+00, 0.7812175E+00
 0.5960000E+00, 0.7826135E+00
 0.5980000E+00, 0.7840101E+00
 0.6000000E+00, 0.7854071E+00
 0.6020000E+00, 0.7868047E+00
 0.6040000E+00, 0.7882028E+00
 0.6060000E+00, 0.7896013E+00
 0.6080000E+00, 0.7910005E+00
 0.6100000E+00, 0.7924001E+00
 0.6120000E+00, 0.7938002E+00
 0.6140000E+00, 0.7952008E+00
 0.6160000E+00, 0.7966020E+00
 0.6180000E+00, 0.7980036E+00
 0.6200000E+00, 0.7994058E+00
 0.6220000E+00, 0.8008084E+00
 0.6240000E+00, 0.8022116E+00
 0.6260000E+00, 0.8036152E+00
 0.6280000E+00, 0.8050194E+00
 0.6300000E+00, 0.8064240E+00
 0.6320000E+00, 0.8078291E+00
 0.6340000E+00, 0.8092348E+00
 0.6360000E+00, 0.8106409E+00
 0.6380000E+00, 0.8120475E+00
 0.6400000E+00, 0.8134547E+00
 0.6420000E+00, 0.8148623E+00
 0.6440000E+00, 0.8162704E+00
 0.6460000E+00, 0.8176790E+00
 0.6480000E+00, 0.8190881E+00
 0.6500000E+00, 0.8204977E+00
 0.6520000E+00, 0.8219078E+00
 0.6540000E+00, 0.8233184E+00
 0.6560000E+00, 0.8247294E+00
 0.6580000E+00, 0.8261410E+00
 0.6600000E+00, 0.8275530E+00
 0.6620000E+00, 0.8289656E+00
 0.6640000E+00, 0.8303787E+00
 0.6660000E+00, 0.8317922E+00
 0.6680000E+00, 0.8332062E+00
 0.6700000E+00, 0.8346207E+00
 0.6720000E+00, 0.8360357E+00
 0.6740000E+00, 0.8374512E+00
 0.6760000E+00, 0.8388671E+00
 0.6780000E+00, 0.8402836E+00
 0.6800000E+00, 0.8417006E+00
 0.6820000E+00, 0.8431180E+00
 0.6840000E+00, 0.8445359E+00
 0.6860000E+00, 0.8459543E+00
 0.6880000E+00, 0.8473732E+00
 0.6900000E+00, 0.8487926E+00
 0.6920000E+00, 0.8502125E+00
 0.6940000E+00, 0.8516328E+00
 0.6960000E+00, 0.8530536E+00
 0.6980000E+00, 0.8544749E+00
 0.7000000E+00, 0.8558967E+00
 0.7020000E+00, 0.8573189E+00
 0.7040000E+00, 0.8587416E+00
 0.7060000E+00, 0.8601649E+00
 0.7080000E+00, 0.8615885E+00
 0.7100000E+00, 0.8630127E+00
 0.7120000E+00, 0.8644373E+00
 0.7140000E+00, 0.8658625E+00
 0.7160000E+00, 0.8672881E+00
 0.7180000E+00, 0.8687141E+00
 0.7200000E+00, 0.8701406E+00
 0.7220000E+00, 0.8715676E+00
 0.7240000E+00, 0.8729951E+00
 0.7260000E+00, 0.8744230E+00
 0.7280000E+00, 0.8758514E+00
 0.7300000E+00, 0.8772802E+00
 0.7320000E+00, 0.8787096E+00
 0.7340000E+00, 0.8801394E+00
 0.7360000E+00, 0.8815696E+00
 0.7380000E+00, 0.8830003E+00
 0.7400000E+00, 0.8844315E+00
 0.7420000E+00, 0.8858631E+00
 0.7440000E+00, 0.8872952E+00
 0.7460000E+00, 0.8887278E+00
 0.7480000E+00, 0.8901608E+00
 0.7500000E+00, 0.8915942E+00
 0.7520000E+00, 0.8930282E+00
 0.7540000E+00, 0.8944626E+00
 0.7560000E+00, 0.8958974E+00
 0.7580000E+00, 0.8973327E+00
 0.7600000E+00, 0.8987685E+00
 0.7620000E+00, 0.9002047E+00
 0.7640000E+00, 0.9016414E+00
 0.7660000E+00, 0.9030785E+00
 0.7680000E+00, 0.9045160E+00
 0.7700000E+00, 0.9059541E+00
 0.7720000E+00, 0.9073926E+00
 0.7740000E+00, 0.9088315E+00
 0.7760000E+00, 0.9102709E+00
 0.7780000E+00, 0.9117108E+00
 0.7800000E+00, 0.9131511E+00
 0.7820000E+00, 0.9145919E+00
 0.7840000E+00, 0.9160331E+00
 0.7860000E+00, 0.9174748E+00
 0.7880000E+00, 0.9189170E+00
 0.7900000E+00, 0.9203596E+00
 0.7920000E+00, 0.9218026E+00
