@TE0,TD0,TT0,TA0 [keV]  vs t@
X,TE0,TD0,TT0,TA0
 0.4400000E+01, 0.2035049E+01, 0.2046649E+01, 0.2046972E+01, 0.2046447E+01,
 0.4420000E+01, 0.2038231E+01, 0.2049854E+01, 0.2050177E+01, 0.2049651E+01,
 0.4440000E+01, 0.2041403E+01, 0.2053049E+01, 0.2053371E+01, 0.2052846E+01,
 0.4460000E+01, 0.2044566E+01, 0.2056234E+01, 0.2056557E+01, 0.2056031E+01,
 0.4480000E+01, 0.2047719E+01, 0.2059409E+01, 0.2059732E+01, 0.2059206E+01,
 0.4500000E+01, 0.2050863E+01, 0.2062575E+01, 0.2062899E+01, 0.2062372E+01,
 0.4520000E+01, 0.2053998E+01, 0.2065731E+01, 0.2066056E+01, 0.2065528E+01,
 0.4540000E+01, 0.2057123E+01, 0.2068878E+01, 0.2069203E+01, 0.2068675E+01,
 0.4560000E+01, 0.2060239E+01, 0.2072016E+01, 0.2072341E+01, 0.2071813E+01,
 0.4580000E+01, 0.2063346E+01, 0.2075145E+01, 0.2075469E+01, 0.2074941E+01,
 0.4600000E+01, 0.2066444E+01, 0.2078264E+01, 0.2078589E+01, 0.2078060E+01,
 0.4620000E+01, 0.2069532E+01, 0.2081374E+01, 0.2081699E+01, 0.2081170E+01,
 0.4640000E+01, 0.2072612E+01, 0.2084475E+01, 0.2084801E+01, 0.2084271E+01,
 0.4660000E+01, 0.2075683E+01, 0.2087567E+01, 0.2087893E+01, 0.2087363E+01,
 0.4680000E+01, 0.2078745E+01, 0.2090650E+01, 0.2090976E+01, 0.2090446E+01,
 0.4700000E+01, 0.2081798E+01, 0.2093724E+01, 0.2094051E+01, 0.2093519E+01,
 0.4720000E+01, 0.2084842E+01, 0.2096790E+01, 0.2097116E+01, 0.2096585E+01,
 0.4740000E+01, 0.2087878E+01, 0.2099846E+01, 0.2100173E+01, 0.2099641E+01,
 0.4760000E+01, 0.2090905E+01, 0.2102894E+01, 0.2103221E+01, 0.2102689E+01,
 0.4780000E+01, 0.2093923E+01, 0.2105933E+01, 0.2106260E+01, 0.2105727E+01,
 0.4800000E+01, 0.2096933E+01, 0.2108963E+01, 0.2109291E+01, 0.2108757E+01,
 0.4820000E+01, 0.2099934E+01, 0.2111985E+01, 0.2112313E+01, 0.2111779E+01,
 0.4840000E+01, 0.2102927E+01, 0.2114998E+01, 0.2115326E+01, 0.2114792E+01,
 0.4860000E+01, 0.2105912E+01, 0.2118003E+01, 0.2118331E+01, 0.2117797E+01,
 0.4880000E+01, 0.2108888E+01, 0.2120999E+01, 0.2121328E+01, 0.2120793E+01,
 0.4900000E+01, 0.2111856E+01, 0.2123987E+01, 0.2124316E+01, 0.2123781E+01,
 0.4920000E+01, 0.2114815E+01, 0.2126967E+01, 0.2127296E+01, 0.2126760E+01,
 0.4940000E+01, 0.2117767E+01, 0.2129938E+01, 0.2130267E+01, 0.2129732E+01,
 0.4960000E+01, 0.2120710E+01, 0.2132901E+01, 0.2133230E+01, 0.2132694E+01,
 0.4980000E+01, 0.2123645E+01, 0.2135856E+01, 0.2136186E+01, 0.2135649E+01,
 0.5000000E+01, 0.2126572E+01, 0.2138803E+01, 0.2139133E+01, 0.2138596E+01,
 0.5020000E+01, 0.2129492E+01, 0.2141742E+01, 0.2142072E+01, 0.2141535E+01,
 0.5040000E+01, 0.2132403E+01, 0.2144672E+01, 0.2145003E+01, 0.2144465E+01,
 0.5060000E+01, 0.2135306E+01, 0.2147595E+01, 0.2147926E+01, 0.2147388E+01,
 0.5080000E+01, 0.2138202E+01, 0.2150510E+01, 0.2150841E+01, 0.2150302E+01,
 0.5100000E+01, 0.2141089E+01, 0.2153417E+01, 0.2153748E+01, 0.2153209E+01,
 0.5120000E+01, 0.2143969E+01, 0.2156316E+01, 0.2156647E+01, 0.2156108E+01,
 0.5140000E+01, 0.2146842E+01, 0.2159207E+01, 0.2159538E+01, 0.2158999E+01,
 0.5160000E+01, 0.2149706E+01, 0.2162091E+01, 0.2162422E+01, 0.2161882E+01,
 0.5180000E+01, 0.2152563E+01, 0.2164966E+01, 0.2165298E+01, 0.2164758E+01,
 0.5200000E+01, 0.2155412E+01, 0.2167834E+01, 0.2168166E+01, 0.2167626E+01,
 0.5220000E+01, 0.2158254E+01, 0.2170695E+01, 0.2171027E+01, 0.2170486E+01,
 0.5240000E+01, 0.2161088E+01, 0.2173548E+01, 0.2173880E+01, 0.2173339E+01,
 0.5260000E+01, 0.2163915E+01, 0.2176393E+01, 0.2176726E+01, 0.2176184E+01,
 0.5280000E+01, 0.2166735E+01, 0.2179231E+01, 0.2179564E+01, 0.2179022E+01,
 0.5300000E+01, 0.2169547E+01, 0.2182061E+01, 0.2182395E+01, 0.2181853E+01,
 0.5320000E+01, 0.2172352E+01, 0.2184884E+01, 0.2185218E+01, 0.2184675E+01,
 0.5340000E+01, 0.2175149E+01, 0.2187700E+01, 0.2188034E+01, 0.2187491E+01,
 0.5360000E+01, 0.2177940E+01, 0.2190508E+01, 0.2190842E+01, 0.2190299E+01,
 0.5380000E+01, 0.2180723E+01, 0.2193310E+01, 0.2193643E+01, 0.2193100E+01,
