@POUT,PCX,PIE,PRL,PCON [MW]  vs t@
X,POUT,PCX,PIE,PRL,PCON
 0.2060000E+01, 0.3304908E+02, 0.0000000E+00, 0.0000000E+00, 0.3349513E+01, 0.2969957E+02,
 0.2080000E+01, 0.3305584E+02, 0.0000000E+00, 0.0000000E+00, 0.3352661E+01, 0.2970317E+02,
 0.2100000E+01, 0.3306261E+02, 0.0000000E+00, 0.0000000E+00, 0.3355786E+01, 0.2970683E+02,
 0.2120000E+01, 0.3306941E+02, 0.0000000E+00, 0.0000000E+00, 0.3358887E+01, 0.2971053E+02,
 0.2140000E+01, 0.3307623E+02, 0.0000000E+00, 0.0000000E+00, 0.3361964E+01, 0.2971427E+02,
 0.2160000E+01, 0.3308307E+02, 0.0000000E+00, 0.0000000E+00, 0.3365018E+01, 0.2971805E+02,
 0.2180000E+01, 0.3308992E+02, 0.0000000E+00, 0.0000000E+00, 0.3368049E+01, 0.2972187E+02,
 0.2200000E+01, 0.3309678E+02, 0.0000000E+00, 0.0000000E+00, 0.3371057E+01, 0.2972572E+02,
 0.2220000E+01, 0.3310365E+02, 0.0000000E+00, 0.0000000E+00, 0.3374042E+01, 0.2972961E+02,
 0.2240000E+01, 0.3311054E+02, 0.0000000E+00, 0.0000000E+00, 0.3377005E+01, 0.2973354E+02,
 0.2260000E+01, 0.3311743E+02, 0.0000000E+00, 0.0000000E+00, 0.3379945E+01, 0.2973749E+02,
 0.2280000E+01, 0.3312433E+02, 0.0000000E+00, 0.0000000E+00, 0.3382862E+01, 0.2974147E+02,
 0.2300000E+01, 0.3313124E+02, 0.0000000E+00, 0.0000000E+00, 0.3385757E+01, 0.2974549E+02,
 0.2320000E+01, 0.3313815E+02, 0.0000000E+00, 0.0000000E+00, 0.3388630E+01, 0.2974952E+02,
 0.2340000E+01, 0.3314506E+02, 0.0000000E+00, 0.0000000E+00, 0.3391481E+01, 0.2975358E+02,
 0.2360000E+01, 0.3315197E+02, 0.0000000E+00, 0.0000000E+00, 0.3394310E+01, 0.2975766E+02,
 0.2380000E+01, 0.3315889E+02, 0.0000000E+00, 0.0000000E+00, 0.3397118E+01, 0.2976177E+02,
 0.2400000E+01, 0.3316580E+02, 0.0000000E+00, 0.0000000E+00, 0.3399904E+01, 0.2976589E+02,
 0.2420000E+01, 0.3317270E+02, 0.0000000E+00, 0.0000000E+00, 0.3402669E+01, 0.2977003E+02,
 0.2440000E+01, 0.3317961E+02, 0.0000000E+00, 0.0000000E+00, 0.3405413E+01, 0.2977419E+02,
 0.2460000E+01, 0.3318650E+02, 0.0000000E+00, 0.0000000E+00, 0.3408136E+01, 0.2977837E+02,
 0.2480000E+01, 0.3319339E+02, 0.0000000E+00, 0.0000000E+00, 0.3410837E+01, 0.2978256E+02,
 0.2500000E+01, 0.3320028E+02, 0.0000000E+00, 0.0000000E+00, 0.3413518E+01, 0.2978676E+02,
 0.2520000E+01, 0.3320715E+02, 0.0000000E+00, 0.0000000E+00, 0.3416179E+01, 0.2979097E+02,
 0.2540000E+01, 0.3321402E+02, 0.0000000E+00, 0.0000000E+00, 0.3418819E+01, 0.2979520E+02,
 0.2560000E+01, 0.3322087E+02, 0.0000000E+00, 0.0000000E+00, 0.3421439E+01, 0.2979943E+02,
 0.2580000E+01, 0.3322771E+02, 0.0000000E+00, 0.0000000E+00, 0.3424039E+01, 0.2980367E+02,
 0.2600000E+01, 0.3323454E+02, 0.0000000E+00, 0.0000000E+00, 0.3426618E+01, 0.2980792E+02,
 0.2620000E+01, 0.3324135E+02, 0.0000000E+00, 0.0000000E+00, 0.3429178E+01, 0.2981217E+02,
 0.2640000E+01, 0.3324815E+02, 0.0000000E+00, 0.0000000E+00, 0.3431719E+01, 0.2981643E+02,
 0.2660000E+01, 0.3325492E+02, 0.0000000E+00, 0.0000000E+00, 0.3434239E+01, 0.2982069E+02,
 0.2680000E+01, 0.3326169E+02, 0.0000000E+00, 0.0000000E+00, 0.3436741E+01, 0.2982495E+02,
 0.2700000E+01, 0.3326844E+02, 0.0000000E+00, 0.0000000E+00, 0.3439223E+01, 0.2982922E+02,
 0.2720000E+01, 0.3327517E+02, 0.0000000E+00, 0.0000000E+00, 0.3441686E+01, 0.2983348E+02,
 0.2740000E+01, 0.3328188E+02, 0.0000000E+00, 0.0000000E+00, 0.3444130E+01, 0.2983775E+02,
 0.2760000E+01, 0.3328857E+02, 0.0000000E+00, 0.0000000E+00, 0.3446556E+01, 0.2984201E+02,
 0.2780000E+01, 0.3329524E+02, 0.0000000E+00, 0.0000000E+00, 0.3448962E+01, 0.2984628E+02,
 0.2800000E+01, 0.3330189E+02, 0.0000000E+00, 0.0000000E+00, 0.3451351E+01, 0.2985054E+02,
 0.2820000E+01, 0.3330852E+02, 0.0000000E+00, 0.0000000E+00, 0.3453721E+01, 0.2985480E+02,
 0.2840000E+01, 0.3331512E+02, 0.0000000E+00, 0.0000000E+00, 0.3456073E+01, 0.2985905E+02,
 0.2860000E+01, 0.3332170E+02, 0.0000000E+00, 0.0000000E+00, 0.3458406E+01, 0.2986330E+02,
 0.2880000E+01, 0.3332827E+02, 0.0000000E+00, 0.0000000E+00, 0.3460722E+01, 0.2986754E+02,
 0.2900000E+01, 0.3333480E+02, 0.0000000E+00, 0.0000000E+00, 0.3463020E+01, 0.2987178E+02,
 0.2920000E+01, 0.3334131E+02, 0.0000000E+00, 0.0000000E+00, 0.3465301E+01, 0.2987601E+02,
 0.2940000E+01, 0.3334779E+02, 0.0000000E+00, 0.0000000E+00, 0.3467564E+01, 0.2988023E+02,
 0.2960000E+01, 0.3335426E+02, 0.0000000E+00, 0.0000000E+00, 0.3469810E+01, 0.2988445E+02,
 0.2980000E+01, 0.3336069E+02, 0.0000000E+00, 0.0000000E+00, 0.3472038E+01, 0.2988865E+02,
 0.3000000E+01, 0.3336710E+02, 0.0000000E+00, 0.0000000E+00, 0.3474250E+01, 0.2989285E+02,
 0.3020000E+01, 0.3337348E+02, 0.0000000E+00, 0.0000000E+00, 0.3476444E+01, 0.2989703E+02,
 0.3040000E+01, 0.3337983E+02, 0.0000000E+00, 0.0000000E+00, 0.3478622E+01, 0.2990121E+02,
 0.3060000E+01, 0.3338615E+02, 0.0000000E+00, 0.0000000E+00, 0.3480783E+01, 0.2990537E+02,
 0.3080000E+01, 0.3339245E+02, 0.0000000E+00, 0.0000000E+00, 0.3482928E+01, 0.2990952E+02,
 0.3100000E+01, 0.3339872E+02, 0.0000000E+00, 0.0000000E+00, 0.3485056E+01, 0.2991366E+02,
 0.3120000E+01, 0.3340496E+02, 0.0000000E+00, 0.0000000E+00, 0.3487168E+01, 0.2991780E+02,
 0.3140000E+01, 0.3341117E+02, 0.0000000E+00, 0.0000000E+00, 0.3489264E+01, 0.2992191E+02,
 0.3160000E+01, 0.3341735E+02, 0.0000000E+00, 0.0000000E+00, 0.3491344E+01, 0.2992601E+02,
 0.3180000E+01, 0.3342351E+02, 0.0000000E+00, 0.0000000E+00, 0.3493408E+01, 0.2993010E+02,
 0.3200000E+01, 0.3342963E+02, 0.0000000E+00, 0.0000000E+00, 0.3495457E+01, 0.2993418E+02,
 0.3220000E+01, 0.3343573E+02, 0.0000000E+00, 0.0000000E+00, 0.3497490E+01, 0.2993823E+02,
 0.3240000E+01, 0.3344179E+02, 0.0000000E+00, 0.0000000E+00, 0.3499507E+01, 0.2994228E+02,
 0.3260000E+01, 0.3344782E+02, 0.0000000E+00, 0.0000000E+00, 0.3501509E+01, 0.2994631E+02,
 0.3280000E+01, 0.3345382E+02, 0.0000000E+00, 0.0000000E+00, 0.3503496E+01, 0.2995032E+02,
 0.3300000E+01, 0.3345979E+02, 0.0000000E+00, 0.0000000E+00, 0.3505468E+01, 0.2995432E+02,
 0.3320000E+01, 0.3346573E+02, 0.0000000E+00, 0.0000000E+00, 0.3507425E+01, 0.2995831E+02,
 0.3340000E+01, 0.3347164E+02, 0.0000000E+00, 0.0000000E+00, 0.3509368E+01, 0.2996227E+02,
 0.3360000E+01, 0.3347752E+02, 0.0000000E+00, 0.0000000E+00, 0.3511295E+01, 0.2996622E+02,
 0.3380000E+01, 0.3348336E+02, 0.0000000E+00, 0.0000000E+00, 0.3513208E+01, 0.2997015E+02,
 0.3400000E+01, 0.3348917E+02, 0.0000000E+00, 0.0000000E+00, 0.3515107E+01, 0.2997407E+02,
 0.3420000E+01, 0.3349496E+02, 0.0000000E+00, 0.0000000E+00, 0.3516991E+01, 0.2997796E+02,
 0.3440000E+01, 0.3350071E+02, 0.0000000E+00, 0.0000000E+00, 0.3518861E+01, 0.2998184E+02,
 0.3460000E+01, 0.3350642E+02, 0.0000000E+00, 0.0000000E+00, 0.3520717E+01, 0.2998571E+02,
 0.3480000E+01, 0.3351211E+02, 0.0000000E+00, 0.0000000E+00, 0.3522560E+01, 0.2998955E+02,
 0.3500000E+01, 0.3351776E+02, 0.0000000E+00, 0.0000000E+00, 0.3524388E+01, 0.2999338E+02,
 0.3520000E+01, 0.3352338E+02, 0.0000000E+00, 0.0000000E+00, 0.3526202E+01, 0.2999718E+02,
 0.3540000E+01, 0.3352897E+02, 0.0000000E+00, 0.0000000E+00, 0.3528004E+01, 0.3000097E+02,
 0.3560000E+01, 0.3353453E+02, 0.0000000E+00, 0.0000000E+00, 0.3529791E+01, 0.3000474E+02,
 0.3580000E+01, 0.3354005E+02, 0.0000000E+00, 0.0000000E+00, 0.3531565E+01, 0.3000849E+02,
 0.3600000E+01, 0.3354554E+02, 0.0000000E+00, 0.0000000E+00, 0.3533326E+01, 0.3001222E+02,
 0.3620000E+01, 0.3355100E+02, 0.0000000E+00, 0.0000000E+00, 0.3535074E+01, 0.3001593E+02,
 0.3640000E+01, 0.3355643E+02, 0.0000000E+00, 0.0000000E+00, 0.3536809E+01, 0.3001962E+02,
 0.3660000E+01, 0.3356182E+02, 0.0000000E+00, 0.0000000E+00, 0.3538531E+01, 0.3002329E+02,
 0.3680000E+01, 0.3356718E+02, 0.0000000E+00, 0.0000000E+00, 0.3540240E+01, 0.3002695E+02,
 0.3700000E+01, 0.3357251E+02, 0.0000000E+00, 0.0000000E+00, 0.3541936E+01, 0.3003058E+02,
 0.3720000E+01, 0.3357781E+02, 0.0000000E+00, 0.0000000E+00, 0.3543620E+01, 0.3003419E+02,
 0.3740000E+01, 0.3358307E+02, 0.0000000E+00, 0.0000000E+00, 0.3545292E+01, 0.3003778E+02,
 0.3760000E+01, 0.3358830E+02, 0.0000000E+00, 0.0000000E+00, 0.3546951E+01, 0.3004135E+02,
 0.3780000E+01, 0.3359350E+02, 0.0000000E+00, 0.0000000E+00, 0.3548598E+01, 0.3004490E+02,
 0.3800000E+01, 0.3359867E+02, 0.0000000E+00, 0.0000000E+00, 0.3550232E+01, 0.3004844E+02,
 0.3820000E+01, 0.3360380E+02, 0.0000000E+00, 0.0000000E+00, 0.3551855E+01, 0.3005194E+02,
 0.3840000E+01, 0.3360890E+02, 0.0000000E+00, 0.0000000E+00, 0.3553466E+01, 0.3005544E+02,
 0.3860000E+01, 0.3361397E+02, 0.0000000E+00, 0.0000000E+00, 0.3555064E+01, 0.3005890E+02,
 0.3880000E+01, 0.3361901E+02, 0.0000000E+00, 0.0000000E+00, 0.3556651E+01, 0.3006236E+02,
 0.3900000E+01, 0.3362401E+02, 0.0000000E+00, 0.0000000E+00, 0.3558227E+01, 0.3006578E+02,
 0.3920000E+01, 0.3362898E+02, 0.0000000E+00, 0.0000000E+00, 0.3559791E+01, 0.3006919E+02,
 0.3940000E+01, 0.3363392E+02, 0.0000000E+00, 0.0000000E+00, 0.3561343E+01, 0.3007258E+02,
 0.3960000E+01, 0.3363883E+02, 0.0000000E+00, 0.0000000E+00, 0.3562885E+01, 0.3007594E+02,
 0.3980000E+01, 0.3364370E+02, 0.0000000E+00, 0.0000000E+00, 0.3564415E+01, 0.3007929E+02,
 0.4000000E+01, 0.3364854E+02, 0.0000000E+00, 0.0000000E+00, 0.3565933E+01, 0.3008261E+02,
 0.4020000E+01, 0.3365335E+02, 0.0000000E+00, 0.0000000E+00, 0.3567441E+01, 0.3008591E+02,
 0.4040000E+01, 0.3365813E+02, 0.0000000E+00, 0.0000000E+00, 0.3568938E+01, 0.3008920E+02,
 0.4060000E+01, 0.3366288E+02, 0.0000000E+00, 0.0000000E+00, 0.3570424E+01, 0.3009246E+02,
 0.4080000E+01, 0.3366760E+02, 0.0000000E+00, 0.0000000E+00, 0.3571899E+01, 0.3009570E+02,
 0.4100000E+01, 0.3367228E+02, 0.0000000E+00, 0.0000000E+00, 0.3573364E+01, 0.3009892E+02,
 0.4120000E+01, 0.3367694E+02, 0.0000000E+00, 0.0000000E+00, 0.3574817E+01, 0.3010212E+02,
 0.4140000E+01, 0.3368156E+02, 0.0000000E+00, 0.0000000E+00, 0.3576261E+01, 0.3010530E+02,
 0.4160000E+01, 0.3368615E+02, 0.0000000E+00, 0.0000000E+00, 0.3577694E+01, 0.3010846E+02,
 0.4180000E+01, 0.3369071E+02, 0.0000000E+00, 0.0000000E+00, 0.3579117E+01, 0.3011159E+02,
 0.4200000E+01, 0.3369524E+02, 0.0000000E+00, 0.0000000E+00, 0.3580529E+01, 0.3011471E+02,
 0.4220000E+01, 0.3369973E+02, 0.0000000E+00, 0.0000000E+00, 0.3581932E+01, 0.3011780E+02,
 0.4240000E+01, 0.3370420E+02, 0.0000000E+00, 0.0000000E+00, 0.3583324E+01, 0.3012088E+02,
 0.4260000E+01, 0.3370863E+02, 0.0000000E+00, 0.0000000E+00, 0.3584706E+01, 0.3012393E+02,
 0.4280000E+01, 0.3371304E+02, 0.0000000E+00, 0.0000000E+00, 0.3586079E+01, 0.3012696E+02,
 0.4300000E+01, 0.3371741E+02, 0.0000000E+00, 0.0000000E+00, 0.3587442E+01, 0.3012997E+02,
 0.4320000E+01, 0.3372176E+02, 0.0000000E+00, 0.0000000E+00, 0.3588795E+01, 0.3013296E+02,
 0.4340000E+01, 0.3372607E+02, 0.0000000E+00, 0.0000000E+00, 0.3590138E+01, 0.3013593E+02,
 0.4360000E+01, 0.3373035E+02, 0.0000000E+00, 0.0000000E+00, 0.3591472E+01, 0.3013888E+02,
 0.4380000E+01, 0.3373461E+02, 0.0000000E+00, 0.0000000E+00, 0.3592797E+01, 0.3014181E+02,
