@WF,WB,WI,WE [MJ]  vs t@
X,WF,WB,WI,WE
 0.2880000E+01, 0.4500401E+02, 0.4500079E+02, 0.4500079E+02, 0.2321343E+02,
 0.2900000E+01, 0.4506971E+02, 0.4506646E+02, 0.4506646E+02, 0.2324703E+02,
 0.2920000E+01, 0.4513496E+02, 0.4513167E+02, 0.4513167E+02, 0.2328039E+02,
 0.2940000E+01, 0.4519974E+02, 0.4519642E+02, 0.4519642E+02, 0.2331351E+02,
 0.2960000E+01, 0.4526408E+02, 0.4526072E+02, 0.4526072E+02, 0.2334641E+02,
 0.2980000E+01, 0.4532796E+02, 0.4532458E+02, 0.4532458E+02, 0.2337908E+02,
 0.3000000E+01, 0.4539141E+02, 0.4538799E+02, 0.4538799E+02, 0.2341152E+02,
 0.3020000E+01, 0.4545441E+02, 0.4545095E+02, 0.4545095E+02, 0.2344373E+02,
 0.3040000E+01, 0.4551698E+02, 0.4551349E+02, 0.4551349E+02, 0.2347573E+02,
 0.3060000E+01, 0.4557911E+02, 0.4557559E+02, 0.4557559E+02, 0.2350749E+02,
 0.3080000E+01, 0.4564081E+02, 0.4563725E+02, 0.4563725E+02, 0.2353904E+02,
 0.3100000E+01, 0.4570208E+02, 0.4569850E+02, 0.4569850E+02, 0.2357037E+02,
 0.3120000E+01, 0.4576294E+02, 0.4575932E+02, 0.4575932E+02, 0.2360148E+02,
 0.3140000E+01, 0.4582337E+02, 0.4581971E+02, 0.4581971E+02, 0.2363238E+02,
 0.3160000E+01, 0.4588338E+02, 0.4587970E+02, 0.4587970E+02, 0.2366306E+02,
 0.3180000E+01, 0.4594299E+02, 0.4593926E+02, 0.4593926E+02, 0.2369354E+02,
 0.3200000E+01, 0.4600218E+02, 0.4599842E+02, 0.4599842E+02, 0.2372380E+02,
 0.3220000E+01, 0.4606096E+02, 0.4605717E+02, 0.4605717E+02, 0.2375385E+02,
 0.3240000E+01, 0.4611934E+02, 0.4611552E+02, 0.4611552E+02, 0.2378370E+02,
 0.3260000E+01, 0.4617733E+02, 0.4617347E+02, 0.4617347E+02, 0.2381335E+02,
 0.3280000E+01, 0.4623491E+02, 0.4623102E+02, 0.4623102E+02, 0.2384279E+02,
 0.3300000E+01, 0.4629210E+02, 0.4628818E+02, 0.4628818E+02, 0.2387202E+02,
 0.3320000E+01, 0.4634890E+02, 0.4634494E+02, 0.4634494E+02, 0.2390106E+02,
 0.3340000E+01, 0.4640532E+02, 0.4640132E+02, 0.4640132E+02, 0.2392990E+02,
 0.3360000E+01, 0.4646134E+02, 0.4645732E+02, 0.4645732E+02, 0.2395855E+02,
 0.3380000E+01, 0.4651699E+02, 0.4651293E+02, 0.4651293E+02, 0.2398699E+02,
 0.3400000E+01, 0.4657226E+02, 0.4656817E+02, 0.4656817E+02, 0.2401525E+02,
 0.3420000E+01, 0.4662716E+02, 0.4662303E+02, 0.4662303E+02, 0.2404331E+02,
 0.3440000E+01, 0.4668167E+02, 0.4667752E+02, 0.4667752E+02, 0.2407118E+02,
 0.3460000E+01, 0.4673583E+02, 0.4673164E+02, 0.4673164E+02, 0.2409887E+02,
 0.3480000E+01, 0.4678962E+02, 0.4678539E+02, 0.4678539E+02, 0.2412636E+02,
 0.3500000E+01, 0.4684304E+02, 0.4683878E+02, 0.4683878E+02, 0.2415367E+02,
 0.3520000E+01, 0.4689611E+02, 0.4689181E+02, 0.4689181E+02, 0.2418080E+02,
 0.3540000E+01, 0.4694881E+02, 0.4694448E+02, 0.4694448E+02, 0.2420774E+02,
 0.3560000E+01, 0.4700117E+02, 0.4699680E+02, 0.4699680E+02, 0.2423450E+02,
 0.3580000E+01, 0.4705317E+02, 0.4704877E+02, 0.4704877E+02, 0.2426108E+02,
 0.3600000E+01, 0.4710482E+02, 0.4710039E+02, 0.4710039E+02, 0.2428749E+02,
 0.3620000E+01, 0.4715613E+02, 0.4715166E+02, 0.4715166E+02, 0.2431371E+02,
 0.3640000E+01, 0.4720710E+02, 0.4720259E+02, 0.4720259E+02, 0.2433976E+02,
 0.3660000E+01, 0.4725772E+02, 0.4725319E+02, 0.4725319E+02, 0.2436564E+02,
 0.3680000E+01, 0.4730801E+02, 0.4730344E+02, 0.4730344E+02, 0.2439134E+02,
 0.3700000E+01, 0.4735796E+02, 0.4735336E+02, 0.4735336E+02, 0.2441688E+02,
 0.3720000E+01, 0.4740758E+02, 0.4740295E+02, 0.4740295E+02, 0.2444224E+02,
 0.3740000E+01, 0.4745687E+02, 0.4745221E+02, 0.4745221E+02, 0.2446743E+02,
 0.3760000E+01, 0.4750584E+02, 0.4750114E+02, 0.4750114E+02, 0.2449246E+02,
 0.3780000E+01, 0.4755448E+02, 0.4754975E+02, 0.4754975E+02, 0.2451732E+02,
 0.3800000E+01, 0.4760280E+02, 0.4759803E+02, 0.4759803E+02, 0.2454202E+02,
 0.3820000E+01, 0.4765080E+02, 0.4764600E+02, 0.4764600E+02, 0.2456656E+02,
 0.3840000E+01, 0.4769849E+02, 0.4769365E+02, 0.4769365E+02, 0.2459093E+02,
 0.3860000E+01, 0.4774586E+02, 0.4774099E+02, 0.4774099E+02, 0.2461514E+02,
 0.3880000E+01, 0.4779293E+02, 0.4778802E+02, 0.4778802E+02, 0.2463919E+02,
 0.3900000E+01, 0.4783968E+02, 0.4783474E+02, 0.4783474E+02, 0.2466309E+02,
 0.3920000E+01, 0.4788613E+02, 0.4788116E+02, 0.4788116E+02, 0.2468683E+02,
 0.3940000E+01, 0.4793228E+02, 0.4792727E+02, 0.4792727E+02, 0.2471041E+02,
 0.3960000E+01, 0.4797812E+02, 0.4797308E+02, 0.4797308E+02, 0.2473384E+02,
 0.3980000E+01, 0.4802367E+02, 0.4801860E+02, 0.4801860E+02, 0.2475712E+02,
 0.4000000E+01, 0.4806892E+02, 0.4806381E+02, 0.4806381E+02, 0.2478025E+02,
 0.4020000E+01, 0.4811388E+02, 0.4810874E+02, 0.4810874E+02, 0.2480322E+02,
 0.4040000E+01, 0.4815855E+02, 0.4815337E+02, 0.4815337E+02, 0.2482605E+02,
 0.4060000E+01, 0.4820293E+02, 0.4819772E+02, 0.4819772E+02, 0.2484873E+02,
 0.4080000E+01, 0.4824702E+02, 0.4824178E+02, 0.4824178E+02, 0.2487126E+02,
 0.4100000E+01, 0.4829083E+02, 0.4828555E+02, 0.4828555E+02, 0.2489365E+02,
 0.4120000E+01, 0.4833436E+02, 0.4832904E+02, 0.4832904E+02, 0.2491589E+02,
 0.4140000E+01, 0.4837761E+02, 0.4837226E+02, 0.4837226E+02, 0.2493799E+02,
 0.4160000E+01, 0.4842058E+02, 0.4841520E+02, 0.4841520E+02, 0.2495995E+02,
 0.4180000E+01, 0.4846328E+02, 0.4845786E+02, 0.4845786E+02, 0.2498177E+02,
 0.4200000E+01, 0.4850570E+02, 0.4850026E+02, 0.4850026E+02, 0.2500345E+02,
 0.4220000E+01, 0.4854786E+02, 0.4854238E+02, 0.4854238E+02, 0.2502499E+02,
 0.4240000E+01, 0.4858975E+02, 0.4858423E+02, 0.4858423E+02, 0.2504640E+02,
 0.4260000E+01, 0.4863137E+02, 0.4862582E+02, 0.4862582E+02, 0.2506767E+02,
 0.4280000E+01, 0.4867273E+02, 0.4866714E+02, 0.4866714E+02, 0.2508880E+02,
 0.4300000E+01, 0.4871383E+02, 0.4870821E+02, 0.4870821E+02, 0.2510980E+02,
 0.4320000E+01, 0.4875467E+02, 0.4874902E+02, 0.4874902E+02, 0.2513067E+02,
 0.4340000E+01, 0.4879525E+02, 0.4878957E+02, 0.4878957E+02, 0.2515141E+02,
 0.4360000E+01, 0.4883558E+02, 0.4882986E+02, 0.4882986E+02, 0.2517201E+02,
 0.4380000E+01, 0.4887566E+02, 0.4886990E+02, 0.4886990E+02, 0.2519249E+02,
 0.4400000E+01, 0.4891548E+02, 0.4890969E+02, 0.4890969E+02, 0.2521284E+02,
 0.4420000E+01, 0.4895506E+02, 0.4894924E+02, 0.4894924E+02, 0.2523306E+02,
 0.4440000E+01, 0.4899439E+02, 0.4898854E+02, 0.4898854E+02, 0.2525316E+02,
 0.4460000E+01, 0.4903348E+02, 0.4902759E+02, 0.4902759E+02, 0.2527313E+02,
 0.4480000E+01, 0.4907233E+02, 0.4906640E+02, 0.4906640E+02, 0.2529297E+02,
 0.4500000E+01, 0.4911093E+02, 0.4910497E+02, 0.4910497E+02, 0.2531270E+02,
 0.4520000E+01, 0.4914930E+02, 0.4914331E+02, 0.4914331E+02, 0.2533230E+02,
 0.4540000E+01, 0.4918744E+02, 0.4918141E+02, 0.4918141E+02, 0.2535178E+02,
 0.4560000E+01, 0.4922533E+02, 0.4921927E+02, 0.4921927E+02, 0.2537115E+02,
 0.4580000E+01, 0.4926300E+02, 0.4925690E+02, 0.4925690E+02, 0.2539039E+02,
 0.4600000E+01, 0.4930044E+02, 0.4929431E+02, 0.4929431E+02, 0.2540952E+02,
 0.4620000E+01, 0.4933765E+02, 0.4933149E+02, 0.4933149E+02, 0.2542852E+02,
 0.4640000E+01, 0.4937463E+02, 0.4936844E+02, 0.4936844E+02, 0.2544742E+02,
 0.4660000E+01, 0.4941140E+02, 0.4940516E+02, 0.4940516E+02, 0.2546620E+02,
 0.4680000E+01, 0.4944794E+02, 0.4944167E+02, 0.4944167E+02, 0.2548486E+02,
 0.4700000E+01, 0.4948426E+02, 0.4947796E+02, 0.4947796E+02, 0.2550342E+02,
 0.4720000E+01, 0.4952036E+02, 0.4951403E+02, 0.4951403E+02, 0.2552186E+02,
 0.4740000E+01, 0.4955625E+02, 0.4954988E+02, 0.4954988E+02, 0.2554019E+02,
 0.4760000E+01, 0.4959193E+02, 0.4958553E+02, 0.4958553E+02, 0.2555841E+02,
 0.4780000E+01, 0.4962739E+02, 0.4962095E+02, 0.4962095E+02, 0.2557653E+02,
 0.4800000E+01, 0.4966264E+02, 0.4965617E+02, 0.4965617E+02, 0.2559454E+02,
