@TAUE1,TAUE2,TAUE89  vs t@
X,TAUE1,TAUE2,TAUE89
 0.2520000E+01, 0.1074267E+01, 0.1183460E+01, 0.3357644E+01,
 0.2540000E+01, 0.1076622E+01, 0.1185260E+01, 0.3358459E+01,
 0.2560000E+01, 0.1078961E+01, 0.1187045E+01, 0.3359267E+01,
 0.2580000E+01, 0.1081285E+01, 0.1188815E+01, 0.3360068E+01,
 0.2600000E+01, 0.1083592E+01, 0.1190572E+01, 0.3360862E+01,
 0.2620000E+01, 0.1085885E+01, 0.1192314E+01, 0.3361648E+01,
 0.2640000E+01, 0.1088162E+01, 0.1194042E+01, 0.3362428E+01,
 0.2660000E+01, 0.1090424E+01, 0.1195756E+01, 0.3363200E+01,
 0.2680000E+01, 0.1092670E+01, 0.1197457E+01, 0.3363966E+01,
 0.2700000E+01, 0.1094902E+01, 0.1199144E+01, 0.3364725E+01,
 0.2720000E+01, 0.1097118E+01, 0.1200818E+01, 0.3365476E+01,
 0.2740000E+01, 0.1099320E+01, 0.1202478E+01, 0.3366222E+01,
 0.2760000E+01, 0.1101507E+01, 0.1204126E+01, 0.3366960E+01,
 0.2780000E+01, 0.1103679E+01, 0.1205760E+01, 0.3367692E+01,
 0.2800000E+01, 0.1105837E+01, 0.1207381E+01, 0.3368418E+01,
 0.2820000E+01, 0.1107980E+01, 0.1208990E+01, 0.3369137E+01,
 0.2840000E+01, 0.1110109E+01, 0.1210586E+01, 0.3369849E+01,
 0.2860000E+01, 0.1112223E+01, 0.1212170E+01, 0.3370555E+01,
 0.2880000E+01, 0.1114323E+01, 0.1213741E+01, 0.3371255E+01,
 0.2900000E+01, 0.1116409E+01, 0.1215300E+01, 0.3371949E+01,
 0.2920000E+01, 0.1118481E+01, 0.1216847E+01, 0.3372637E+01,
 0.2940000E+01, 0.1120540E+01, 0.1218382E+01, 0.3373318E+01,
 0.2960000E+01, 0.1122584E+01, 0.1219906E+01, 0.3373993E+01,
 0.2980000E+01, 0.1124614E+01, 0.1221417E+01, 0.3374663E+01,
 0.3000000E+01, 0.1126631E+01, 0.1222917E+01, 0.3375326E+01,
