@TE,TD,<TE>,<TD> [keV]  vs t@
X,TE,TD,<TE>,<TD>
 0.2500000E+00, 0.5000704E+01, 0.4991010E+01, 0.3100182E+01, 0.2834576E+01,
 0.2520000E+00, 0.5000852E+01, 0.4991122E+01, 0.3100791E+01, 0.2834236E+01,
 0.2540000E+00, 0.5000998E+01, 0.4991234E+01, 0.3101411E+01, 0.2833916E+01,
 0.2560000E+00, 0.5001145E+01, 0.4991347E+01, 0.3102041E+01, 0.2833614E+01,
 0.2580000E+00, 0.5001291E+01, 0.4991460E+01, 0.3102680E+01, 0.2833331E+01,
 0.2600000E+00, 0.5001437E+01, 0.4991574E+01, 0.3103329E+01, 0.2833067E+01,
 0.2620000E+00, 0.5001583E+01, 0.4991689E+01, 0.3103987E+01, 0.2832820E+01,
 0.2640000E+00, 0.5001728E+01, 0.4991805E+01, 0.3104654E+01, 0.2832591E+01,
 0.2660000E+00, 0.5001873E+01, 0.4991920E+01, 0.3105331E+01, 0.2832380E+01,
 0.2680000E+00, 0.5002018E+01, 0.4992037E+01, 0.3106016E+01, 0.2832186E+01,
 0.2700000E+00, 0.5002163E+01, 0.4992154E+01, 0.3106710E+01, 0.2832008E+01,
 0.2720000E+00, 0.5002307E+01, 0.4992271E+01, 0.3107413E+01, 0.2831848E+01,
 0.2740000E+00, 0.5002451E+01, 0.4992390E+01, 0.3108124E+01, 0.2831704E+01,
 0.2760000E+00, 0.5002596E+01, 0.4992508E+01, 0.3108844E+01, 0.2831576E+01,
 0.2780000E+00, 0.5002739E+01, 0.4992627E+01, 0.3109572E+01, 0.2831464E+01,
 0.2800000E+00, 0.5002883E+01, 0.4992747E+01, 0.3110307E+01, 0.2831368E+01,
 0.2820000E+00, 0.5003027E+01, 0.4992867E+01, 0.3111051E+01, 0.2831287E+01,
 0.2840000E+00, 0.5003170E+01, 0.4992987E+01, 0.3111803E+01, 0.2831222E+01,
 0.2860000E+00, 0.5003314E+01, 0.4993108E+01, 0.3112562E+01, 0.2831172E+01,
 0.2880000E+00, 0.5003457E+01, 0.4993229E+01, 0.3113328E+01, 0.2831136E+01,
 0.2900000E+00, 0.5003600E+01, 0.4993351E+01, 0.3114102E+01, 0.2831115E+01,
 0.2920000E+00, 0.5003742E+01, 0.4993474E+01, 0.3114884E+01, 0.2831109E+01,
 0.2940000E+00, 0.5003885E+01, 0.4993596E+01, 0.3115672E+01, 0.2831116E+01,
 0.2960000E+00, 0.5004028E+01, 0.4993719E+01, 0.3116468E+01, 0.2831138E+01,
