@PIN,POH,PNB,PRF,PNF,PEX [MW]  vs t@
X,PIN,POH,PNB,PRF,PNF,PEX
 0.2100000E+00, 0.1457298E+03, 0.2653432E+02, 0.0000000E+00, 0.1050000E+03, 0.1419552E+02, 0.1050000E+03,
 0.2120000E+00, 0.1458271E+03, 0.2660081E+02, 0.0000000E+00, 0.1050000E+03, 0.1422628E+02, 0.1050000E+03,
 0.2140000E+00, 0.1459235E+03, 0.2666631E+02, 0.0000000E+00, 0.1050000E+03, 0.1425717E+02, 0.1050000E+03,
 0.2160000E+00, 0.1460191E+03, 0.2673086E+02, 0.0000000E+00, 0.1050000E+03, 0.1428821E+02, 0.1050000E+03,
 0.2180000E+00, 0.1461139E+03, 0.2679448E+02, 0.0000000E+00, 0.1050000E+03, 0.1431937E+02, 0.1050000E+03,
 0.2200000E+00, 0.1462079E+03, 0.2685721E+02, 0.0000000E+00, 0.1050000E+03, 0.1435067E+02, 0.1050000E+03,
 0.2220000E+00, 0.1463012E+03, 0.2691906E+02, 0.0000000E+00, 0.1050000E+03, 0.1438209E+02, 0.1050000E+03,
 0.2240000E+00, 0.1463937E+03, 0.2698007E+02, 0.0000000E+00, 0.1050000E+03, 0.1441364E+02, 0.1050000E+03,
 0.2260000E+00, 0.1464856E+03, 0.2704025E+02, 0.0000000E+00, 0.1050000E+03, 0.1444532E+02, 0.1050000E+03,
 0.2280000E+00, 0.1465767E+03, 0.2709962E+02, 0.0000000E+00, 0.1050000E+03, 0.1447711E+02, 0.1050000E+03,
 0.2300000E+00, 0.1466672E+03, 0.2715821E+02, 0.0000000E+00, 0.1050000E+03, 0.1450903E+02, 0.1050000E+03,
 0.2320000E+00, 0.1467571E+03, 0.2721604E+02, 0.0000000E+00, 0.1050000E+03, 0.1454106E+02, 0.1050000E+03,
 0.2340000E+00, 0.1468463E+03, 0.2727312E+02, 0.0000000E+00, 0.1050000E+03, 0.1457320E+02, 0.1050000E+03,
 0.2360000E+00, 0.1469349E+03, 0.2732946E+02, 0.0000000E+00, 0.1050000E+03, 0.1460546E+02, 0.1050000E+03,
 0.2380000E+00, 0.1470229E+03, 0.2738509E+02, 0.0000000E+00, 0.1050000E+03, 0.1463783E+02, 0.1050000E+03,
 0.2400000E+00, 0.1471103E+03, 0.2744003E+02, 0.0000000E+00, 0.1050000E+03, 0.1467031E+02, 0.1050000E+03,
 0.2420000E+00, 0.1471972E+03, 0.2749427E+02, 0.0000000E+00, 0.1050000E+03, 0.1470290E+02, 0.1050000E+03,
 0.2440000E+00, 0.1472834E+03, 0.2754785E+02, 0.0000000E+00, 0.1050000E+03, 0.1473559E+02, 0.1050000E+03,
