@BETAa,BETA0,[%],BETAN  vs t@
X,Y1,Y2,Y3
 0.4560000E+00, 0.6833875E+00, 0.1805128E+01, 0.7642681E+00,
 0.4580000E+00, 0.6836103E+00, 0.1805179E+01, 0.7645173E+00,
 0.4600000E+00, 0.6838340E+00, 0.1805231E+01, 0.7647674E+00,
 0.4620000E+00, 0.6840584E+00, 0.1805283E+01, 0.7650183E+00,
 0.4640000E+00, 0.6842836E+00, 0.1805334E+01, 0.7652702E+00,
 0.4660000E+00, 0.6845096E+00, 0.1805386E+01, 0.7655230E+00,
 0.4680000E+00, 0.6847364E+00, 0.1805437E+01, 0.7657766E+00,
 0.4700000E+00, 0.6849639E+00, 0.1805489E+01, 0.7660311E+00,
 0.4720000E+00, 0.6851923E+00, 0.1805540E+01, 0.7662865E+00,
 0.4740000E+00, 0.6854213E+00, 0.1805592E+01, 0.7665427E+00,
 0.4760000E+00, 0.6856511E+00, 0.1805644E+01, 0.7667996E+00,
 0.4780000E+00, 0.6858816E+00, 0.1805695E+01, 0.7670574E+00,
 0.4800000E+00, 0.6861129E+00, 0.1805747E+01, 0.7673160E+00,
 0.4820000E+00, 0.6863449E+00, 0.1805799E+01, 0.7675754E+00,
 0.4840000E+00, 0.6865776E+00, 0.1805851E+01, 0.7678357E+00,
 0.4860000E+00, 0.6868110E+00, 0.1805902E+01, 0.7680967E+00,
 0.4880000E+00, 0.6870450E+00, 0.1805954E+01, 0.7683584E+00,
 0.4900000E+00, 0.6872798E+00, 0.1806006E+01, 0.7686210E+00,
 0.4920000E+00, 0.6875152E+00, 0.1806057E+01, 0.7688843E+00,
 0.4940000E+00, 0.6877513E+00, 0.1806109E+01, 0.7691483E+00,
 0.4960000E+00, 0.6879880E+00, 0.1806161E+01, 0.7694131E+00,
 0.4980000E+00, 0.6882254E+00, 0.1806213E+01, 0.7696786E+00,
 0.5000000E+00, 0.6884635E+00, 0.1806265E+01, 0.7699448E+00,
 0.5020000E+00, 0.6887022E+00, 0.1806317E+01, 0.7702118E+00,
 0.5040000E+00, 0.6889415E+00, 0.1806368E+01, 0.7704794E+00,
 0.5060000E+00, 0.6891814E+00, 0.1806420E+01, 0.7707478E+00,
 0.5080000E+00, 0.6894220E+00, 0.1806472E+01, 0.7710168E+00,
 0.5100000E+00, 0.6896632E+00, 0.1806524E+01, 0.7712865E+00,
 0.5120000E+00, 0.6899050E+00, 0.1806576E+01, 0.7715569E+00,
 0.5140000E+00, 0.6901474E+00, 0.1806628E+01, 0.7718281E+00,
 0.5160000E+00, 0.6903903E+00, 0.1806680E+01, 0.7720997E+00,
 0.5180000E+00, 0.6906338E+00, 0.1806732E+01, 0.7723721E+00,
 0.5200000E+00, 0.6908780E+00, 0.1806784E+01, 0.7726451E+00,
 0.5220000E+00, 0.6911227E+00, 0.1806836E+01, 0.7729187E+00,
 0.5240000E+00, 0.6913679E+00, 0.1806888E+01, 0.7731930E+00,
 0.5260000E+00, 0.6916137E+00, 0.1806940E+01, 0.7734679E+00,
 0.5280000E+00, 0.6918601E+00, 0.1806992E+01, 0.7737435E+00,
 0.5300000E+00, 0.6921070E+00, 0.1807044E+01, 0.7740196E+00,
 0.5320000E+00, 0.6923544E+00, 0.1807096E+01, 0.7742963E+00,
 0.5340000E+00, 0.6926025E+00, 0.1807148E+01, 0.7745737E+00,
 0.5360000E+00, 0.6928509E+00, 0.1807200E+01, 0.7748516E+00,
 0.5380000E+00, 0.6931000E+00, 0.1807252E+01, 0.7751300E+00,
 0.5400000E+00, 0.6933495E+00, 0.1807304E+01, 0.7754092E+00,
 0.5420000E+00, 0.6935996E+00, 0.1807356E+01, 0.7756888E+00,
 0.5440000E+00, 0.6938502E+00, 0.1807408E+01, 0.7759690E+00,
 0.5460000E+00, 0.6941012E+00, 0.1807460E+01, 0.7762498E+00,
 0.5480000E+00, 0.6943528E+00, 0.1807512E+01, 0.7765312E+00,
 0.5500000E+00, 0.6946048E+00, 0.1807564E+01, 0.7768130E+00,
 0.5520000E+00, 0.6948574E+00, 0.1807617E+01, 0.7770954E+00,
 0.5540000E+00, 0.6951104E+00, 0.1807669E+01, 0.7773784E+00,
 0.5560000E+00, 0.6953639E+00, 0.1807721E+01, 0.7776619E+00,
 0.5580000E+00, 0.6956178E+00, 0.1807773E+01, 0.7779459E+00,
 0.5600000E+00, 0.6958722E+00, 0.1807825E+01, 0.7782304E+00,
 0.5620000E+00, 0.6961271E+00, 0.1807877E+01, 0.7785155E+00,
 0.5640000E+00, 0.6963825E+00, 0.1807929E+01, 0.7788010E+00,
 0.5660000E+00, 0.6966382E+00, 0.1807981E+01, 0.7790871E+00,
 0.5680000E+00, 0.6968944E+00, 0.1808034E+01, 0.7793736E+00,
 0.5700000E+00, 0.6971511E+00, 0.1808086E+01, 0.7796606E+00,
 0.5720000E+00, 0.6974081E+00, 0.1808138E+01, 0.7799481E+00,
