@BETAPa,BETAP0  vs t@
X,BETAPa,BETAP0
 0.4060000E+01, 0.1906438E+00, 0.3955393E+00,
 0.4080000E+01, 0.1908182E+00, 0.3962124E+00,
 0.4100000E+01, 0.1909915E+00, 0.3968833E+00,
 0.4120000E+01, 0.1911636E+00, 0.3975521E+00,
 0.4140000E+01, 0.1913347E+00, 0.3982187E+00,
 0.4160000E+01, 0.1915046E+00, 0.3988833E+00,
 0.4180000E+01, 0.1916735E+00, 0.3995457E+00,
 0.4200000E+01, 0.1918413E+00, 0.4002060E+00,
 0.4220000E+01, 0.1920080E+00, 0.4008643E+00,
 0.4240000E+01, 0.1921737E+00, 0.4015205E+00,
 0.4260000E+01, 0.1923383E+00, 0.4021746E+00,
 0.4280000E+01, 0.1925019E+00, 0.4028267E+00,
 0.4300000E+01, 0.1926644E+00, 0.4034768E+00,
 0.4320000E+01, 0.1928260E+00, 0.4041248E+00,
 0.4340000E+01, 0.1929865E+00, 0.4047709E+00,
 0.4360000E+01, 0.1931460E+00, 0.4054150E+00,
 0.4380000E+01, 0.1933045E+00, 0.4060571E+00,
 0.4400000E+01, 0.1934620E+00, 0.4066973E+00,
 0.4420000E+01, 0.1936185E+00, 0.4073355E+00,
 0.4440000E+01, 0.1937741E+00, 0.4079718E+00,
 0.4460000E+01, 0.1939287E+00, 0.4086062E+00,
 0.4480000E+01, 0.1940823E+00, 0.4092387E+00,
 0.4500000E+01, 0.1942350E+00, 0.4098692E+00,
 0.4520000E+01, 0.1943868E+00, 0.4104979E+00,
 0.4540000E+01, 0.1945376E+00, 0.4111248E+00,
 0.4560000E+01, 0.1946875E+00, 0.4117498E+00,
 0.4580000E+01, 0.1948364E+00, 0.4123729E+00,
 0.4600000E+01, 0.1949845E+00, 0.4129942E+00,
 0.4620000E+01, 0.1951317E+00, 0.4136137E+00,
 0.4640000E+01, 0.1952780E+00, 0.4142314E+00,
 0.4660000E+01, 0.1954233E+00, 0.4148472E+00,
 0.4680000E+01, 0.1955679E+00, 0.4154613E+00,
 0.4700000E+01, 0.1957115E+00, 0.4160737E+00,
 0.4720000E+01, 0.1958543E+00, 0.4166842E+00,
 0.4740000E+01, 0.1959963E+00, 0.4172930E+00,
 0.4760000E+01, 0.1961374E+00, 0.4179001E+00,
 0.4780000E+01, 0.1962776E+00, 0.4185055E+00,
 0.4800000E+01, 0.1964170E+00, 0.4191091E+00,
 0.4820000E+01, 0.1965557E+00, 0.4197110E+00,
 0.4840000E+01, 0.1966935E+00, 0.4203112E+00,
 0.4860000E+01, 0.1968304E+00, 0.4209098E+00,
 0.4880000E+01, 0.1969666E+00, 0.4215066E+00,
 0.4900000E+01, 0.1971020E+00, 0.4221018E+00,
 0.4920000E+01, 0.1972366E+00, 0.4226953E+00,
 0.4940000E+01, 0.1973705E+00, 0.4232872E+00,
 0.4960000E+01, 0.1975035E+00, 0.4238775E+00,
 0.4980000E+01, 0.1976358E+00, 0.4244661E+00,
 0.5000000E+01, 0.1977673E+00, 0.4250531E+00,
 0.5020000E+01, 0.1978981E+00, 0.4256386E+00,
 0.5040000E+01, 0.1980281E+00, 0.4262224E+00,
 0.5060000E+01, 0.1981574E+00, 0.4268046E+00,
 0.5080000E+01, 0.1982859E+00, 0.4273852E+00,
 0.5100000E+01, 0.1984137E+00, 0.4279643E+00,
 0.5120000E+01, 0.1985408E+00, 0.4285418E+00,
 0.5140000E+01, 0.1986672E+00, 0.4291178E+00,
 0.5160000E+01, 0.1987928E+00, 0.4296923E+00,
 0.5180000E+01, 0.1989178E+00, 0.4302652E+00,
 0.5200000E+01, 0.1990420E+00, 0.4308365E+00,
 0.5220000E+01, 0.1991656E+00, 0.4314064E+00,
 0.5240000E+01, 0.1992884E+00, 0.4319748E+00,
 0.5260000E+01, 0.1994106E+00, 0.4325416E+00,
 0.5280000E+01, 0.1995321E+00, 0.4331070E+00,
 0.5300000E+01, 0.1996529E+00, 0.4336709E+00,
 0.5320000E+01, 0.1997731E+00, 0.4342333E+00,
 0.5340000E+01, 0.1998926E+00, 0.4347943E+00,
