psi_index,theta_index,theta_rad,R_m,Z_m,PSIP
   3,   2,  0.98174770E-01,  0.86421108E+01,  0.89921904E+00,  0.11100256E+00
   3,   3,  0.19634954E+00,  0.86411867E+01,  0.91015214E+00,  0.11100256E+00
   3,   4,  0.29452431E+00,  0.86396723E+01,  0.92101920E+00,  0.11100256E+00
   3,   5,  0.39269908E+00,  0.86375532E+01,  0.93178469E+00,  0.11100256E+00
   3,   6,  0.49087385E+00,  0.86348124E+01,  0.94240856E+00,  0.11100256E+00
   3,   7,  0.58904862E+00,  0.86314268E+01,  0.95284474E+00,  0.11100256E+00
   3,   8,  0.68722339E+00,  0.86273699E+01,  0.96303862E+00,  0.11100256E+00
   3,   9,  0.78539816E+00,  0.86226110E+01,  0.97292364E+00,  0.11100256E+00
   3,  10,  0.88357293E+00,  0.86171131E+01,  0.98241729E+00,  0.11100256E+00
   3,  11,  0.98174770E+00,  0.86108370E+01,  0.99141455E+00,  0.11100256E+00
   3,  12,  0.10799225E+01,  0.86037426E+01,  0.99978012E+00,  0.11100256E+00
   3,  13,  0.11780972E+01,  0.85957909E+01,  0.10073336E+01,  0.11100256E+00
   3,  14,  0.12762720E+01,  0.85869560E+01,  0.10138277E+01,  0.11100256E+00
   3,  15,  0.13744468E+01,  0.85772629E+01,  0.10189471E+01,  0.11100256E+00
   3,  16,  0.14726216E+01,  0.85668411E+01,  0.10223317E+01,  0.11100256E+00
   3,  17,  0.15707963E+01,  0.85559664E+01,  0.10236522E+01,  0.11100256E+00
   3,  18,  0.16689711E+01,  0.85450506E+01,  0.10227356E+01,  0.11100256E+00
   3,  19,  0.17671459E+01,  0.85345364E+01,  0.10196562E+01,  0.11100256E+00
   3,  20,  0.18653206E+01,  0.85247688E+01,  0.10146859E+01,  0.11100256E+00
   3,  21,  0.19634954E+01,  0.85159426E+01,  0.10081831E+01,  0.11100256E+00
   3,  22,  0.20616702E+01,  0.85081120E+01,  0.10005060E+01,  0.11100256E+00
   3,  23,  0.21598449E+01,  0.85012465E+01,  0.99195284E+00,  0.11100256E+00
   3,  24,  0.22580197E+01,  0.84952812E+01,  0.98274708E+00,  0.11100256E+00
   3,  25,  0.23561945E+01,  0.84901476E+01,  0.97305214E+00,  0.11100256E+00
   3,  26,  0.24543693E+01,  0.84857788E+01,  0.96298832E+00,  0.11100256E+00
   3,  27,  0.25525440E+01,  0.84821196E+01,  0.95264518E+00,  0.11100256E+00
   3,  28,  0.26507188E+01,  0.84791212E+01,  0.94209117E+00,  0.11100256E+00
   3,  29,  0.27488936E+01,  0.84767437E+01,  0.93137974E+00,  0.11100256E+00
   3,  30,  0.28470683E+01,  0.84749565E+01,  0.92055416E+00,  0.11100256E+00
